,Target RPM: 225,,,,,,,,,,,,,,,,
Test Values of kp,,,,,,,,Test Values of ki for kp = 10,,,,,,Test Values of kp and ki,,,
kp = 12,Average:,kp = 10,Average:,kp = 8,Average:,kp = 5,Average:,ki = 20,Average:,ki = 15,Average:,ki = 10,Average:,kp = 8; ki = 15,Average:,kp = 5; ki = 20,Average:
-208.19,,-205.97,,-201.38,,,,-223.6,,,,-225.65,,-225.87,,,
-207.3,,-205.15,,-200.64,,,,-224.38,,,,-224.16,,-226.96,,,
-206.66,,-205.26,,-200.86,,,,-225.13,,,,-222.8,,-226.02,,,
-208.29,,-206.61,,-201,,,,-226.75,,,,-221.17,,-224.04,,,
-209.66,,-206.31,,-200.2,,,,-228.28,,,,-222.49,,-223.62,,,
-209.42,,-205.28,,-200.5,,,,-227.14,,,,-226.31,,-223.13,,,
-209.68,,-205.76,,-200.9,,,,-224.33,,,,-229.61,,-222.18,,,
-208.96,,-205.32,,-200.46,,,,-223.24,,,,-229.83,,-223.09,,,
-206.78,,-204.44,,-200.97,,,,-222.64,,,,-227.58,,-225.78,,,
-207.12,,-205.25,,-201.26,,,,-221.66,,,,-226.22,,-228.29,,,
-209.63,,-205.55,,-200.17,,,,-223.05,,,,-225.61,,-228.28,,,
-210.1,,-205.12,,-200.5,,,,-226.57,,,,-223.19,,-226.27,,,
-209.13,,-205.69,,-200.97,,,,-229.44,,,,-221.13,,-225.38,,,
-209.03,,-205.57,,-199.94,,,,-229.09,,,,-222.62,,-224.23,,,
-208.15,,-204.56,,-200.61,,,,-226.62,,,,-224.83,,-222.06,,,
-207.05,,-204.97,,-201.35,,,,-225.25,,,,-225.65,,-222.03,,,
-207.82,,-205.54,,-200.44,,,,-223.52,,,,-225.88,,-224.65,,,
-208.62,,-204.76,,-201.04,,,,-221.07,,,,-226.57,,-226.42,,,
-208.38,,-205.33,,-201.5,,,,-221.43,,,,-227.36,,-226.24,,,
-209.21,,-205.87,,-200.23,,,,-224.97,,,,-225.95,,-225.73,,,
-209.37,,-204.75,,-200.6,,,,-228.79,,,,-223.63,,-226.09,,,
-207.64,,-204.86,,-201.13,,,,-229.52,,,,-222.91,,-226.9,,,
-207.23,,-206.42,,-200.06,,,,-227.73,,,,-222.54,,-225.41,,,
-208.98,,-206.39,,-200.59,,,,-226.66,,,,-222.16,,-223.3,,,
-209.86,,-205.45,,-201.21,,,,-226.12,,,,-223.82,,-223.31,,,
-209.28,,-205.86,,-200.27,,,,-223.62,,,,-227.21,,-223.36,,,
-209.28,,-205.48,,-200.83,,,,-221.29,,,,-229.63,,-222.85,,,
-208.38,,-204.6,,-201.31,,,,-222.28,,,,-228.77,,-223.89,,,
-206.55,,-205.25,,-200.08,,,,-223.95,,,,-226.01,,-226.31,,,
-207.1,,-205.42,,-200.03,,,,-224.48,,,,-224.64,,-228.28,,,
-208.72,,-204.88,,-201.71,,,,-225,,,,-223.21,,-227.69,,,
-208.94,,-205.45,,-201.95,,,,-226.39,,,,-221.17,,-225.27,,,
-209.97,,-205.54,,-201.21,,,,-227.73,,,,-221.99,,-224.15,,,
-211.35,,-204.76,,-201.74,,,,-226.5,,,,-225.68,,-223.16,,,
-209.94,,-205.15,,-201.1,,,,-224.26,,,,-229.18,,-221.91,,,
-207.74,,-205.49,,-200.02,,,,-223.52,,,,-229.53,,-223.01,,,
-207.48,,-204.61,,-200.7,,,,-222.48,,,,-227.39,,-225.97,,,
-207.35,,-205.24,,-200.51,,,,-221.3,,,,-226.14,,-228.61,,,
-207.47,,-205.91,,-199.93,,,,-222.76,,,,-225.64,,-228.57,,,
-208.91,,-204.96,,-201.08,,,,-226.35,,,,-223.32,,-226.37,,,
-209.6,,-204.98,,-201.09,,,,-229.39,,,,-221.25,,-225.25,,,
-208.92,,-206.37,,-200.47,,,,-229.29,,,,-222.69,,-224,,,
-209.01,,-206.29,,-201.35,,,,-226.86,,,,-224.68,,-221.91,,,
-208.51,,-205.45,,-201.07,,,,-225.51,,,,-225.16,,-221.98,,,
-206.63,,-205.9,,-200.24,,,,-223.83,,,,-225.77,,-224.57,,,
-206.92,,-205.35,,-201.05,,,,-221.26,,,,-227.02,,-226.33,,,
-209.65,,-204.42,,-200.83,,,,-221.32,,,,-226.45,,-226.22,,,
-210.8,,-205.14,,-200.13,,,,-224.54,,,,-223.8,,-225.8,,,
-210.16,,-205.48,,-201.1,,,,-227,,,,-222.34,,-226.3,,,
-210.06,,-205.17,,-200.98,,,,-227.07,,,,-223.3,,-227.15,,,
-208.8,,-205.82,,-200.31,,,,-226.33,,,,-224.28,,-225.82,,,
-206.52,,-205.75,,-201.19,,,,-226.15,,,,-224.02,,-223.77,,,
-206.76,,-204.64,,-200.91,,,,-226.34,,,,-224.57,,-223.37,,,
-208.44,,-204.89,,-200.24,,,,-224.28,,,,-226.04,,-223.05,,,
-209.03,,-205.29,,-201.2,,,,-221.98,,,,-225.94,,-222.29,,,
-210.34,,-204.51,,-201.01,,,,-222.51,,,,-224.07,,-223.23,,,
-211.79,,-205.31,,-200.3,,,,-223.47,,,,-223.11,,-225.99,,,
-210.25,,-206.15,,-201.12,,,,-223.56,,,,-224.04,,-228.58,,,
-207.83,,-205.17,,-200.84,,,,-224.6,,,,-224.51,,-228.47,,,
-207.4,,-205.08,,-200.1,,,,-226.5,,,,-223.63,,-226.27,,,
-207.17,,-206.43,,-201.03,,,,-226.58,,,,-223.79,,-225.42,,,
-207.33,,-206.27,,-200.87,,,,-224.58,,,,-225.36,,-224.27,,,
-209.21,,-205.31,,-200.27,,,,-223.27,,,,-225.72,,-221.97,,,
